timestamp,P_PV,P_Load,P_grid_pos,P_grid_neg,P_grid,P_batt,SOC_opt,P_v2g,v2g_SOC_opt,unit_load_cost,unit_prod_price,cost_profit,cost_fun_ppt,optim_status
2025-04-24 00:00:00+02:00,0,616,119.38462,0.0,119.38462,496.61538,0.7568910260416667,0.0,0.8,0.783,0.483,-0.09347815746,-0.5144059831944444,Optimal
2025-04-24 01:00:00+02:00,0,596,119.38462,0.0,119.38462,476.61538,0.7155181631944445,0.0,0.8,0.764,0.464,-0.09120984968000001,-0.5144059831944444,Optimal
2025-04-24 02:00:00+02:00,0,1222,119.38462,0.0,119.38462,1102.6154,0.6198050208333334,0.0,0.8,0.78,0.48,-0.0931200036,-0.5144059831944444,Optimal
2025-04-24 03:00:00+02:00,0,623,119.38462,0.0,119.38462,503.61538,0.5760884079861113,0.0,0.8,0.773,0.473,-0.09228431126,-0.5144059831944444,Optimal
2025-04-24 04:00:00+02:00,0,2236,119.38462,0.0,119.38462,2116.6154,0.3923544322916668,0.0,0.8,0.929,0.629,-0.11090831198000001,-0.5144059831944444,Optimal
2025-04-24 05:00:00+02:00,66,731,119.38462,0.0,119.38462,545.61538,0.3449919861111112,0.0,0.8,1.093,0.793,-0.13048738965999998,-0.5144059831944444,Optimal
2025-04-24 06:00:00+02:00,452,1030,59.692308,0.0,59.692308,518.30769,0.29999999913194453,0.0,0.8,1.489,1.189,-0.088881846612,-0.6723418811944445,Optimal
2025-04-24 07:00:00+02:00,1843,896,59.692308,0.0,59.692308,0.0,0.29999999913194453,-1006.6923,0.8246639613500001,1.604,1.304,-0.095746462032,-0.5106752136944445,Optimal
2025-04-24 08:00:00+02:00,4663,862,0.0,-3801.0,-3801.0,0.0,0.29999999913194453,0.0,0.8091084057944445,1.598,1.298,4.933698000000001,4.426753555555556,Optimal
2025-04-24 09:00:00+02:00,6743,747,0.0,-5996.0,-5996.0,0.0,0.29999999913194453,0.0,0.793552850238889,1.468,1.168,7.003328,6.496383555555555,Optimal
2025-04-24 10:00:00+02:00,5371,1285,0.0,0.0,0.0,-4086.0,0.6336899991319445,0.0,0.7779972946833335,1.31,1.01,-0.0,-0.5069444444444444,Optimal
2025-04-24 11:00:00+02:00,6830,761,0.0,-4032.551,-4032.551,-2036.449,0.8000000007986111,0.0,0.7624417391277779,1.104,0.804,3.2421710040000002,2.7352265595555556,Optimal
2025-04-24 12:00:00+02:00,5858,763,0.0,-5095.0,-5095.0,0.0,0.8000000007986111,0.0,0.7468861835722224,0.968,0.668,3.40346,2.8965155555555553,Optimal
2025-04-24 13:00:00+02:00,5056,790,0.0,-4266.0,-4266.0,0.0,0.8000000007986111,0.0,0.7313306280166668,0.787,0.487,2.0775419999999998,1.5705975555555554,Optimal
2025-04-24 14:00:00+02:00,4547,2722,0.0,-1825.0,-1825.0,0.0,0.8000000007986111,0.0,0.7157750724611113,0.762,0.462,0.8431500000000001,0.33620555555555565,Optimal
2025-04-24 15:00:00+02:00,3826,1579,0.0,-2247.0,-2247.0,0.0,0.8000000007986111,0.0,0.7002195169055557,0.758,0.458,1.029126,0.5221815555555556,Optimal
2025-04-24 16:00:00+02:00,3737,800,0.0,-2937.0,-2937.0,0.0,0.8000000007986111,0.0,0.6846639613500002,0.772,0.472,1.386264,0.8793195555555555,Optimal
2025-04-24 17:00:00+02:00,778,853,59.692308,0.0,59.692308,0.0,0.8000000007986111,15.307692,0.6842653235375001,0.915,0.615,-0.05461846182,-0.5106752136944445,Optimal
2025-04-24 18:00:00+02:00,592,1148,59.692308,0.0,59.692308,0.0,0.8000000007986111,496.30769,0.6713406441104168,1.032,0.732,-0.061602461856,-0.5106752136944445,Optimal
2025-04-24 19:00:00+02:00,378,1445,59.692308,0.0,59.692308,0.0,0.8000000007986111,1007.3077,0.6451086727562502,1.18,0.88,-0.07043692344,-0.5106752136944445,Optimal
2025-04-24 20:00:00+02:00,180,803,59.692308,0.0,59.692308,0.0,0.8000000007986111,563.30769,0.6304392016625001,1.372,1.072,-0.08189784657600001,-0.5106752136944445,Optimal
2025-04-24 21:00:00+02:00,0,895,59.692308,0.0,59.692308,0.0,0.8000000007986111,835.30769,0.6086863972354167,1.057,0.757,-0.06309476955599999,-0.5106752136944445,Optimal
2025-04-24 22:00:00+02:00,0,890,119.38462,0.0,119.38462,0.0,0.8000000007986111,770.61538,0.5886182883812501,0.877,0.577,-0.10470031174000001,-0.5144059831944444,Optimal
2025-04-24 23:00:00+02:00,0,1111,119.38462,0.0,119.38462,0.0,0.8000000007986111,991.61538,0.5627949711937501,0.732,0.432,-0.08738954184,-0.5144059831944444,Optimal
